Locus	Gene	Product	Group1_replicate 1	Group1_replicate 2	Group1_replicate 3	Group2_replicate 1	Group2_replicate 2	Group2_replicate 3	Group3_replicate 1	Group3_replicate 2	Group3_replicate 3	Input_ replicate 1	Input_replicate 2
SL1344_0272	SL0272	conserved hypothetical protein (SPI-6 associated)	1	0	0	0	0	0	0	0	0	102	35
SL1344_0273	SL0273	conserved hypothetical protein (SPI-6 associated)	2	0	0	0	1	0	0	0	0	68	35
SL1344_0274	sciK1	conserved hypothetical protein (SPI-6 associated)	6	2	0	0	3	0	80	0	1	43	42
SL1344_0275	sciN	lipoprotein (SPI-6 associated)	6	3	0	2	2	0	5	0	0	25	16
SL1344_0276	sciO	conserved hypothetical protein (SPI-6 associated)	30	10	0	0	2	2	10	2	9	121	157
SL1344_0277	sciP	putative membrane protein (SPI-6 associated)	41	0	0	0	2	0	6	0	1	88	103
SL1344_0278	sciQ	putative membrane protein, virulence associated protein	6	4	0	2	2	0	0	2	0	326	183
SL1344_0279	sciR	conserved hypothetical protein (SPI-6 associated)	4	5	0	3	0	0	15	0	1	93	47
SL1344_0280	sciS	probable IcmF-related integral membrane ATP-binding protein, virulence associated protein	165	12	0	1	8	0	21	6	18	215	180
SL1344_0281	sciT	conserved hypothetical protein (SPI-6 associated)	47	4	0	0	0	0	4	0	2	53	41
SL1344_0282	sciU	probable secreted protein	1	3	0	0	2	0	0	0	1	137	89
SL1344_0283	sciV	conserved hypothetical protein (SPI-6 associated)	8	0	0	0	1	0	0	0	0	245	167
SL1344_0284	vrgS	Type VI secretion protein	30	3	0	0	2	0	4	2	4	237	326
SL1344_0285	sciW	conserved hypothetical protein (SPI-6 associated)	11	2	0	0	0	0	0	0	5	70	61
SL1344_0286	SL0286	Rhs-family protein (SPI-6 associated)	141	20	2	6	20	8	42	18	51	17390	17233
SL1344_0286A	SL0286A	conserved hypothetical protein (SPI-6 associated)	2	0	0	0	2	0	4	0	13	1535	1755
SL1344_0288	sciX	conserved hypothetical protein (SPI-6 associated)	2	3	0	4	0	4	0	0	6	2737	1913
SL1344_0289	sciY	putative phosphotriesterase (pseudogene)	1	0	0	0	1	0	0	0	3	61	55
SL1344_0291	SL0291	hypothetical protein	4	2	0	0	0	2	0	1	0	136	150
SL1344_0292	SL0292	conserved hypothetical protein (SPI-6 associated)	0	2	0	0	0	0	0	0	0	32	60
SL1344_0293	SL0293	transposase (fragment)	1	0	0	0	1	0	2	0	1	3	20
SL1344_0294	SL0294	transposase (pseudogene)	2	0	0	0	0	0	0	0	0	2	4
SL1344_0295	safA	salmonella atypical fimbria lipoprotein	15	0	4	0	0	0	5	25	33	447	168
SL1344_0296	safB	salmonella atypical fimbria chaperone	2	0	0	2	1	0	4	0	1	141	100
SL1344_0297	safC	salmonella atypical fimbria outer membrane usher	42	7	4	4	4	2	22	17	21	423	546
SL1344_0298	safD	fimbrial structural subunit	5	7	2	1	2	0	4	2	3	150	77
SL1344_0299	SL0299	conserved hypothetical protein	2	4	2	0	4	0	0	6	9	247	157
SL1344_0300	sinR	LysR-family transcriptional regulator (SPI-6 associated)	6	5	0	0	6	6	4	6	14	3238	2625
SL1344_0301	SL0301	conserved hypothetical protein (SPI-6 associated)	2	0	0	7	4	8	0	11	9	116	116
SL1344_0302	pagN	possible outer membrane adhesin	14	12	14	82	33	67	2	72	171	1297	754
SL1344_0303	sciZ	probable secreted protein (SPI-6 associated)	2	2	4	34	5	14	3	19	46	949	908
SL1344_0304	SL0304	possible hydrolase	10	3	1	2	2	0	0	2	6	758	834
SL1344_0305	fadE	possible acyl-CoA dehydrogenase	20	9	2	10	10	6	9	4	40	576	676
SL1344_0306	gmhA	Phosphoheptose isomerase	12	3	6	3	0	7	0	12	13	1165	1362
SL1344_0307	yafJ	conserved hypothetical protein	2	3	1	1	6	5	5	2	9	1100	2274
SL1344_0308	yafK	putative exported protein	5	0	0	2	0	4	9	4	19	5843	5332
SL1344_0309	dbh	DNA polymerase IV	6	3	0	0	2	2	2	2	13	2424	3192
SL1344_0310	SL0310	conserved hypothetical protein	26	10	0	0	2	0	8	0	6	407	367
SL1344_0311	prfH	putative peptide chain release factor	21	9	0	0	1	0	2	0	9	100	133
SL1344_0312	pepD	aminoacyl-histidine dipeptidase precursor	31	6	6	47	24	16	12	20	79	2177	3688
SL1344_0313	gpt	xanthine-guanine phosphoribosyltransferase	5	3	2	0	0	4	2	0	0	1799	1611
SL1344_0314	yafA	conserved hypothetical protein	19	5	2	6	4	4	7	6	25	1778	3994
SL1344_0315	crl	curlin genes transcriptional activator	1	1	2	4	2	1	1	6	3	2021	2300
SL1344_0316	phoE	outer membrane pore protein E precursor	6	2	0	0	0	0	4	0	10	892	931
SL1344_0317	proB	glutamate 5-kinase	10	11	4	3	4	6	5	10	18	359	471
SL1344_0318	proA	gamma-glutamyl phosphate reductase	29	6	0	6	7	8	6	6	21	250	470
SL1344_0319	SL0319	putative IS3 transposase	12	2	0	0	4	5	40	4	7	654	354
SL1344_0320	dhaF	glycerol dehydratase reactivation factor large subunit (pseudogene)	6	1	0	0	0	0	0	0	0	5	7
SL1344_0322	SL0322	conserved hypothetical protein	5	0	6	16	2	8	2	4	29	2122	1930
SL1344_0323	SL0323	putative permease/MSF transporter	8	2	0	2	4	4	10	2	4	436	243
SL1344_0324	leuC2	3-isopropylmalate dehydratase large subunit 2 (ec 4.2.1.33) (isopropylmalate isomerase 2) (alpha-ipm isomerase 2) (ipmi 2). 3-isopropylmalate dehydratase large subunit 2 (ec 4.2.1.33) (isopropylmalate isomerase 2) (alpha-ipm isomerase 2) (ipmi 2)	18	8	0	0	4	0	2	2	6	101	107
SL1344_0325	leuD2	3-isopropylmalate dehydratase small subunit 2 (ec 4.2.1.33) (isopropylmalate isomerase 2) (alpha-ipm isomerase 2) (ipmi 2)	3	0	0	1	0	0	3	2	0	714	780
SL1344_0326	SL0326	putative fumarylacetoacetate (faa) hydrolase	7	6	0	0	4	0	2	2	4	125	155
SL1344_0327	SL0327	putative hydrolase or acyltransferase	18	8	0	0	0	2	8	0	3	354	360
SL1344_0328	SL0328	putative lysR family transcriptional regulator	11	6	0	0	2	2	22	0	9	871	692
SL1344_0329	SL0329	conserved hypothetical protein	6	0	0	0	1	0	2	0	2	315	179
SL1344_0330	SL0330	probable secreted protein	1	2	0	0	1	0	0	0	0	376	208
SL1344_0331	stbE	fimbrial chaperone protein	8	4	4	0	4	0	2	4	4	375	344
SL1344_0332	stbD	putative fimbrial protein	29	4	0	0	2	0	0	6	2	355	370
SL1344_0333	stbC	outer membrane fimbrial usher protein	40	6	0	8	4	2	8	10	2	505	626
SL1344_0334	stbB	fimbrial chaperone protein	6	0	0	3	0	0	4	0	0	94	90
SL1344_0335	stbA	probable fimbrial protein	2	4	0	0	0	0	0	0	4	26	5
SL1344_0336	SL0336	possible transmembrane regulator	2	3	0	0	0	0	4	0	6	461	486
SL1344_0337	SL0337	putative periplasmic protein	3	2	0	0	0	0	2	0	0	68	73
SL1344_0338	SL0338	putative rtn protein	16	4	0	0	0	0	2	4	13	1221	1181
SL1344_0339	SL0339	possible transmembrane regulator	4	4	2	0	7	2	1	2	13	2831	2866
SL1344_0340	SL0340	hypothetical protein	2	0	0	0	0	0	2	0	1	277	533
SL1344_0341	SL0341	possible outer membrane protein	0	1	0	2	0	0	2	0	2	85	45
SL1344_0342	SL0342	possible transcriptionl regulator	2	0	0	0	0	2	1	2	5	731	191
SL1344_0343	SL0343	probable secreted protein	0	0	0	0	0	1	2	1	3	318	132
SL1344_0344	SL0344	probable lipoprotein	8	0	0	0	0	0	4	0	0	185	143
SL1344_0345	SL0345	putative outer membrane efflux lipoprotein	34	3	0	0	2	2	6	0	7	105	106
SL1344_0346	SL0346	putative cation efflux protein	59	9	0	2	10	2	8	2	8	264	244
SL1344_0347	SL0347	putative cation efflux pump	30	4	0	0	1	4	2	0	3	24	22
SL1344_0348	SL0348	putative cation transport atpase (ec 3.6.1.-)	90	10	2	5	8	0	12	4	12	192	242
SL1344_0349	SL0349	putative transcriptional regulatory protein	10	2	0	2	2	0	8	0	0	163	197
SL1344_0350	SL0350	putative metal-binding transport protein	3	0	0	0	0	3	1	0	2	48	90
SL1344_0351	SL0351	putative metabolite transport protein	14	4	0	4	0	2	7	1	10	523	497
SL1344_0352	mod	type III restriction-modification system enzyme (StyLTI) modification methylase	26	6	2	2	2	8	4	8	34	1594	2058
SL1344_0353	res	type III restriction-modification system enzyme (StyLTI) (ec 3.1.21.5)	23	6	0	8	8	7	2	5	20	1605	1593
SL1344_0354	SL0354	hypothetical protein	1	0	0	0	0	0	0	1	1	257	243
SL1344_0355	SL0355	probable terminal oxidase subunit I	29	5	0	1	2	4	4	0	8	758	1105
SL1344_0356	SL0356	probable terminal oxidase subunit II	31	7	0	2	2	0	4	6	9	339	461
SL1344_0357	SL0357	hypothetical protein	3	1	0	0	0	0	0	2	2	271	318
SL1344_0358	SL0358	AraC-family transcriptional regulator	27	0	0	4	8	8	0	0	10	249	340
SL1344_0359	foxA	ferrioxamine B receptor precursor	31	10	0	1	11	0	0	4	8	709	628
SL1344_0360	SL0360	RhtC-like transporter	10	1	0	0	2	2	4	4	17	1040	998
SL1344_0361	SL0361	probable secreted protein	3	0	0	13	4	3	2	5	18	2728	2005
SL1344_0362	prpR	propionate catabolism operon regulatory protein	21	6	2	2	2	2	3	0	8	384	390
SL1344_0363	prpB	carboxyvinyl-carboxyphosphonate phosphorylmutase	28	0	0	0	0	6	0	2	6	273	191
SL1344_0364	prpC	methylcitrate synthase	22	12	0	3	2	3	3	0	14	353	316
SL1344_0365	prpD	PrpD protein	38	4	0	4	4	0	2	0	7	273	279
SL1344_0366	prpE	PrpE protein	38	10	2	6	2	2	17	2	13	192	250
SL1344_0367	hemB	delta-aminolevulinic acid dehydratase	15	6	4	10	2	12	4	16	32	4174	7002
SL1344_0368	SL0368	puative autotransporter/virulence factor	23	10	0	0	0	6	8	0	25	1114	1224
SL1344_0369	SL0369	conserved hypothetical protein	5	8	0	0	2	0	0	0	1	506	364
SL1344_0370	ampH	penicillin-binding protein AmpH	18	14	0	2	0	0	10	2	16	1691	1868
SL1344_0371	sbmA	probable ABC-transporter inner membrane protein SbmA	6	4	0	2	2	6	2	9	13	1128	1208
SL1344_0372	yaiW	putative lipoprotein	8	2	0	2	4	4	2	5	7	360	612
SL1344_0373	SL0373	putative membrane protein	0	0	0	6	2	2	0	4	8	164	329
SL1344_0374	SL0374	putative membrane protein	1	2	0	1	1	2	0	2	5	285	318
SL1344_0375	ddlA	D-alanine:D-alanine ligase A	9	7	2	4	3	6	4	0	26	2106	2062
SL1344_0376	SL0376	hypothetical protein	4	1	0	0	5	4	2	0	12	2121	1161
SL1344_0377	SL0377	possible efflux pump	19	8	2	3	4	0	10	1	6	568	692
SL1344_0378	yaiB	conserved hypothetical protein	13	15	23	62	49	54	0	109	195	11979	10102
SL1344_0379	psiF	phosphate starvation-inducible protein PsiF	4	0	0	2	0	2	2	12	4	1321	735
SL1344_0380	adrA	adrA protein	16	2	0	0	2	6	10	0	19	306	376
SL1344_0381	proC	pyrroline-5-carboxylate reductase	20	0	3	6	15	8	0	21	33	651	820
SL1344_0382	yaiI	conserved hypothetical protein	10	4	0	0	1	0	0	0	8	413	370
SL1344_0383	aroL	shikimate kinase II	9	2	0	2	5	2	0	2	12	728	1373
SL1344_0384	yaiA	conserved hypothetical protein	3	0	0	1	4	5	0	6	10	1056	1445
SL1344_0385	aroM	AroM protein	10	4	3	5	0	0	2	7	14	1400	1419
SL1344_0386	yaiE	conserved hypothetical protein	6	0	7	2	0	4	0	8	17	702	957
SL1344_0387	rdgC	recombination associated protein RdgC	16	0	0	6	2	2	3	6	10	988	1159
SL1344_0388	yajF	hypothetical ROK-family protein	7	2	0	5	4	4	9	5	8	258	419
SL1344_0389	araJ	transmembrane efflux protein	17	2	0	10	0	2	3	6	3	696	556
SL1344_0390	sbcC	exonuclease SbcC	94	9	0	3	6	2	68	4	26	358	545
SL1344_0391	sbcD	exonuclease SbcD	14	7	2	1	4	3	2	4	4	1070	1278
SL1344_0392	phoB	phosphate regulon transcriptional regulatory protein PhoB	14	12	2	20	12	21	8	24	53	461	644
SL1344_0393	phoR	phosphate regulon sensor protein PhoR	8	14	4	4	5	4	6	2	23	252	303
SL1344_0394	brnQ	branched chain amino acid transport system II carrier protein	24	10	4	8	10	0	59	6	24	1255	1922
SL1344_0395	proY	proline-specific permease ProY	24	16	0	2	0	2	0	4	11	298	343
SL1344_0396	malZ	maltodextrin glucosidase	46	2	0	0	10	0	5	0	10	166	209
SL1344_0397	SL0397	probable peroxidase	12	15	26	85	50	65	5	93	222	23573	57119
SL1344_0398	yajB	conserved hypothetical protein	12	5	0	1	0	1	0	0	7	1515	1649
SL1344_0399	queA	S-adenosylmethionine:tRNA ribosyltransferase- isomerase	23	0	0	6	4	2	2	5	8	1333	907
SL1344_0400	tgt	queuine tRNA-ribosyltransferase; tRNA-guanine transglycosylase	6	3	0	3	7	4	2	10	20	458	709
SL1344_0401	yajC	putative membrane protein	4	1	2	13	6	8	0	11	22	725	1171
SL1344_0402	secD	protein-export membrane protein SecD	22	12	0	16	4	18	6	19	50	584	1157
SL1344_0403	secF	protein-export membrane protein SecF	12	4	0	9	6	2	10	16	28	420	516
SL1344_0404	SL0404	conserved hypothetical protein	7	3	0	0	0	0	0	0	2	95	91
SL1344_0405	SL0405	putative deoR-family transcriptional regulator	3	1	0	2	0	0	6	2	2	79	95
SL1344_0406	yajD	conserved hypothetical protein	2	0	0	2	3	4	0	4	24	4069	2197
SL1344_0407	tsx	nucleoside-specific channel-forming protein tsx precursor	5	5	3	20	7	23	4	34	78	1987	3285
SL1344_0408	yajI	putative lipoprotein	4	0	0	2	0	2	0	2	3	272	433
SL1344_0409	SL0409	conserved hypothetical protein	3	2	6	14	10	17	0	6	8	1368	1740
SL1344_0410	ribD	riboflavin biosynthesis protein RibD	32	1	15	49	24	32	6	35	129	871	1712
SL1344_0411	ribH	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)	25	5	19	79	16	72	2	70	170	2838	3055
SL1344_0412	nusB	N utilization substance protein B	8	0	4	21	27	15	2	32	36	482	812
SL1344_0413	SL0413	thiamine-monophosphate kinase	13	0	10	17	16	18	0	20	31	701	1075
SL1344_0414	SL0414	phosphatidylglycerophosphatase A	8	6	0	3	2	4	2	6	12	526	433
SL1344_0415	SL0415	putative oxidoreductase	26	2	2	4	4	2	2	8	13	3153	2760
SL1344_0416	dxs	1-deoxyxylulose-5-phosphate synthase	22	8	2	13	6	11	2	15	19	853	2011
SL1344_0417	ispA	geranyltranstransferase	12	7	4	0	1	4	6	9	6	1252	1864
SL1344_0418	xseB	exodeoxyribonuclease small subunit	3	4	4	6	3	2	0	4	8	828	1088
SL1344_0419	SL0419	thiamine biosynthesis protein ThiI	14	0	0	8	1	4	8	14	16	1060	1429
SL1344_0420	phnV	probable membrane component of 2-aminoethylphosphonate transporter	16	6	0	2	2	2	10	4	1	71	172
SL1344_0421	phnU	probable membrane component of 2-aminoethylphosphonate transporter	24	6	0	0	2	0	3	0	4	43	93
SL1344_0422	phnT	probable ATP-binding component of 2-aminoethylphosphonate transporter	38	8	0	0	0	0	4	4	6	255	301
SL1344_0423	phnS	probable periplasmic binding component of 2-aminoethylphosphonate transporter	23	2	0	0	2	2	6	0	7	277	306
SL1344_0424	phnR	probable regulator of 2-aminoethylphosphonate uptake and metabolism operon	18	0	0	2	0	0	2	0	5	751	1241
SL1344_0425	phnW	2-aminoethylphosphonate:pyruvateaminotransferase	22	4	0	0	2	0	0	2	8	64	86
SL1344_0426	phnX	phosphonoacetaldehyde phosphonohydrolase	31	2	0	4	2	2	32	2	4	38	63
SL1344_0427	thiJ	4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis (ThiJ) protein	15	2	0	0	1	4	0	2	4	287	483
SL1344_0428	apbA	2-dehydropantoate 2-reductase	17	0	2	0	4	6	2	5	14	1603	1844
SL1344_0429	SL0429	conserved hypothetical protein	4	1	4	6	2	10	0	10	18	546	763
SL1344_0430	SL0430	hpothetical major facilitator family transport protein	28	6	2	1	0	4	2	2	15	849	1266
SL1344_0430A	SL0430A	putative transposase (fragment)	2	0	0	0	0	1	2	1	4	1058	666
SL1344_0431	SL0431	putative exported protein	16	0	0	4	0	4	0	4	9	934	811
SL1344_0432	SL0432	conserved hypothetical protein	11	4	0	4	2	2	0	6	6	322	319
SL1344_0433	cyoE	cytochrome o ubiquinol oxidase C subunit	20	2	6	20	9	15	0	20	47	737	650
SL1344_0434	cyoD	cytochrome o ubiquinol oxidase C subunit	7	0	1	14	3	12	2	7	11	894	724
SL1344_0435	cyoC	cytochrome o ubiquinol oxidase subunit III	15	2	10	24	12	14	2	15	38	1142	1179
SL1344_0436	cyoB	cytochrome o ubiquinol oxidase subunit I	27	15	15	56	22	50	6	63	175	4056	7549
SL1344_0437	cyoA	cytochrome o ubiquinol oxidase subunit II	12	5	14	32	14	22	8	37	62	7493	14882
SL1344_0438	ampG	muropeptide MFS transporter protein	21	3	6	6	4	3	2	6	6	444	900
SL1344_0439	yajG	putative lipoprotein	6	2	0	2	6	2	0	5	20	3035	3107
SL1344_0440	bolA	BolA protein	0	2	0	4	1	1	23	4	12	1000	882
SL1344_0441	tig	trigger factor	14	6	6	25	14	30	12	64	98	5525	5616
SL1344_0442	clpP	ATP-dependent clp protease proteolytic subunit	4	4	4	15	2	18	0	9	45	5211	6525
SL1344_0443	clpX	ATP-dependent clp protease ATP-binding subunit ClpX	18	8	8	21	16	33	2	33	71	4383	5956
SL1344_0444	lon	Lon protease	38	13	24	47	44	42	6	105	121	2150	3658
SL1344_0445	hupB	DNA-binding protein HU-beta	10	8	12	40	26	41	2	59	180	5453	4874
SL1344_0446	ppiD	peptidyl-prolyl cis-trans isomerase D	18	7	10	23	9	10	8	30	55	1751	2262
SL1344_0447	ybaV	putative exported protein	4	2	0	0	1	2	0	0	5	120	79
SL1344_0448	SL0448	conserved hypothetical protein	1	0	0	6	1	2	2	4	11	883	857
SL1344_0449	ybaX	conserved hypothetical protein	10	1	0	0	0	0	4	0	7	228	276
SL1344_0450	ybaE	putative solute-binding protein	32	4	2	2	4	5	4	4	0	1011	1405
SL1344_0451	SL0451	conserved hypothetical protein	8	4	0	2	1	0	6	2	8	702	577
SL1344_0452	SL0452	putative lyase	12	3	0	3	4	6	2	0	10	390	515
SL1344_0453	ybaO	hypothetical transcriptional regulator	6	1	0	4	0	3	3	0	5	1230	1166
SL1344_0454	mdlA	putative ABC transporter ATP-binding membrane protein	25	6	0	4	2	1	4	2	9	654	912
SL1344_0455	mdlB	putative ABC transporter ATP-binding membrane protein	78	6	0	0	0	17	6	0	8	316	443
SL1344_0456	glnK	nitrogen regulatory protein P-II	6	2	0	0	4	1	0	0	0	12	10
SL1344_0457	amtB	probable ammonium transporter	35	8	2	2	0	2	2	6	4	125	249
SL1344_0458	tesB	acyl-CoA thioesterase II	13	6	0	6	10	8	4	2	17	1220	1776
SL1344_0459	SL0459	conserved hypothetical lipoprotein	8	8	10	18	7	19	1	12	32	6862	6556
SL1344_0460	ybaZ	putative methylated-DNA methyltransferase	4	2	0	1	2	0	1	1	4	295	285
SL1344_0461	ylaB	hypothetical 58.9 kDa protein in tesb-hha intergenic region. Contains probable N-terminal signal sequence	12	0	6	4	1	2	8	2	19	1830	2205
SL1344_0462	rpmE2	putative 50s ribosomal protein L31 (second copy)	0	7	0	14	2	7	0	19	106	259	190
SL1344_0463	rpmJ2	putative 50s ribosomal protein L36 (second copy)	8	10	2	13	12	6	0	29	103	681	732
SL1344_0464	SL0464	putative membrane protein	4	4	2	2	0	6	10	4	18	2388	2534
SL1344_0465	maa	maltose O-acetyltransferase	8	3	0	3	3	4	4	9	16	4473	4134
SL1344_0466	hha	haemolysin expression modulating protein	0	2	0	5	0	1	0	6	17	20847	12146
SL1344_0467	ybaJ	conserved hypothetical protein	2	4	1	3	2	3	1	0	16	10816	6410
SL1344_0468	acrB	acriflavin resistance protein B	32	23	5	30	12	24	8	42	54	1183	1709
SL1344_0469	acrA	acriflavin resistance protein A precursor	19	4	8	22	8	22	22	12	49	3391	7843
SL1344_0470	acrR	potential acrAB operon repressor	1	4	0	8	3	4	4	2	18	7235	4645
SL1344_0471	SL0471	integral membrane protein AefA	51	14	6	6	8	8	28	16	36	1574	2301
SL1344_0472	SL0472	conserved hypothetical protein	18	2	0	4	7	0	8	2	14	2233	2524
SL1344_0473	ybaM	conserved hypothetical protein	2	0	0	0	3	0	0	0	6	145	269
SL1344_0474	priC	primosomal replication protein N	16	0	0	2	1	0	2	0	11	187	296
SL1344_0476	apt	adenine phosphoribosyltransferase	3	4	0	4	0	7	0	4	21	630	571
SL1344_0477	dnaX	DNA polymerase III subunits gamma and tau	50	6	0	14	8	4	10	16	42	1284	1853
SL1344_0478	ybaB	conserved hypothetical protein	8	0	5	11	6	0	2	16	20	121	255
SL1344_0479	recR	recombination protein RecR	20	4	2	5	1	6	0	9	4	223	317
SL1344_0480	htpG	heat shock protein HtpG	16	16	4	46	14	34	6	16	45	2012	5024
SL1344_0481	adk	adenylate kinase	0	2	4	1	0	6	0	16	18	3019	4688
SL1344_0482	hemH	ferrochelatase	19	9	0	8	0	1	2	0	7	502	2049
SL1344_0483	aes	acetyl esterase	16	0	0	0	0	1	2	2	4	181	803
SL1344_0484	gsk	inosine-guanosine kinase	26	8	2	8	1	7	3	9	29	1277	1745
SL1344_0485	ybaL	putative transport protein	28	2	0	8	5	9	14	5	8	1231	1643
SL1344_0486	fsr	fosmidomycin resistance protein	39	6	0	3	0	2	5	0	8	347	533
SL1344_0487	ushA	UDP-sugar hydrolase	23	8	6	0	15	3	0	16	33	1947	2530
SL1344_0488	SL0488	conserved hypothetical protein	13	4	0	4	3	1	0	3	3	288	319
SL1344_0489	SL0489	conserved hypothetical protein	20	2	0	2	0	0	1	4	8	749	763
SL1344_0490	SL0490	probable secreted protein	7	0	0	0	0	0	1	0	2	1813	1195
SL1344_0491	ybaR	copper-transporting ATPase	70	6	0	4	2	0	8	4	10	366	1648
SL1344_0492	cueR	copper efflux regulator	5	2	0	2	2	0	0	10	8	639	1135
SL1344_0493	SL0493	putative membrane protein	16	0	0	0	5	2	2	6	2	396	899
SL1344_0494	SL0494	putative membrane protein	19	4	0	0	0	2	2	4	10	1965	2477
SL1344_0495	SL0495	putative ABC transporter ATP-binding protein	0	2	0	0	0	0	0	1	4	849	692
SL1344_0496	SL0496	putative membrane protein	7	0	4	3	0	0	2	2	2	317	581
SL1344_0497	ybbN	thioredoxin-like protein	16	0	0	15	6	6	0	4	7	664	1297
SL1344_0498	ybbO	hypothetical oxidoreductase	12	4	0	6	0	4	1	2	6	402	662
SL1344_0499	tesA	acyl-coA thioesterase I	10	0	0	6	6	0	2	5	3	898	900
SL1344_0500	ybbA	hypothetical ABC transporter ATP-binding protein	13	3	0	3	0	0	4	3	4	341	260
SL1344_0501	SL0501	putative membrane protein	58	14	4	2	2	6	14	8	10	438	374
SL1344_0502	SL0502	outer membrane protein	17	10	0	0	4	2	2	0	14	632	542
SL1344_0503	sfbA	lipoprotein	6	4	2	4	0	2	3	2	4	843	607
SL1344_0504	sfbB	ABC transporter ATP-binding protein	24	6	0	2	2	0	2	3	9	202	265
SL1344_0505	sfbC	ABC transporter integral membrane protein	19	1	0	0	2	0	2	2	1	84	218
SL1344_0506	ybbB	hypothetical ATP-binding protein	24	4	0	4	2	2	2	3	19	1113	2048
SL1344_0507	SL0507	hypothetical lysR-family transcriptional regulator	12	0	0	0	0	2	2	1	8	341	389
SL1344_0508	allA	ureidoglycolate hydrolase	3	7	2	1	2	1	2	2	4	347	493
SL1344_0509	allR	negative regulator of allantoin and glyoxylate utilization operons	12	5	0	1	5	3	4	0	9	355	410
SL1344_0510	gcl	glyoxylate carboligase	31	13	2	0	3	0	10	4	7	75	119
SL1344_0511	gip	hydroxypyruvate isomerase	12	2	0	2	0	0	0	0	3	210	157
SL1344_0512	garR	2-hydroxy-3-oxopropionate reductase	2	5	2	0	0	2	2	2	1	115	88
SL1344_0513	SL0513	probable metabolite transport protein	8	7	0	0	0	2	0	0	8	295	166
SL1344_0515	ybbW	putative allantoin permease	25	0	0	0	0	1	2	2	6	79	56
SL1344_0516	allB	allantoinase	26	0	0	0	2	1	12	6	0	120	98
SL1344_0517	SL0517	putative permease protein	8	5	0	0	3	1	2	0	5	415	371
SL1344_0518	glxK	glycerate kinase	16	4	0	0	4	0	6	0	3	78	97
SL1344_0519	SL0519	conserved hypothetical protein	9	2	0	2	0	1	0	4	5	511	597
SL1344_0520	allC	allantoate amidohydrolase	46	6	0	1	2	4	4	1	4	163	198
SL1344_0521	allD	ureidoglycolate dehydrogenase	13	4	0	4	2	0	0	2	4	417	357
SL1344_0522	fdrA	FdrA protein	22	8	0	0	0	2	6	2	5	84	76
SL1344_0523	SL0523	conserved hypothetical protein	30	3	0	0	0	0	4	0	7	46	34
SL1344_0524	SL0524	conserved hypothetical protein	15	4	0	0	5	0	21	0	4	12	7
SL1344_0525	arcC	carbamate kinase	17	4	0	0	2	0	4	0	4	50	68
SL1344_0526	purK	phosphoribosylaminoimidazole carboxylase ATPase subunit	23	2	6	8	7	2	16	2	13	260	754
SL1344_0527	purE	phosphoribosylaminoimidazole carboxylase catalytic subunit	19	4	0	2	0	2	7	2	13	1494	1267
SL1344_0528	ybbF	conserved hypothetical protein	12	4	0	0	0	4	4	1	13	564	830
SL1344_0529	ppiB	peptidyl-prolyl cis-trans isomerase B	10	4	10	14	10	15	4	9	42	3955	3613
SL1344_0530	cysS	cysteinyl-tRNA synthetase	41	6	4	6	4	9	6	18	16	2203	2838
SL1344_0531	SL0531	putative exported outer membrane protein	1	0	0	0	0	0	0	0	4	148	145
SL1344_0532	SL0532	putative exported protein	1	4	0	0	0	2	0	0	1	468	414
SL1344_0533	ybcI	putative membrane protein	6	1	0	4	0	0	2	0	5	333	297
SL1344_0534	ybcJ	conserved hypothetical protein	1	2	0	0	0	2	0	3	3	123	314
SL1344_0535	folD	FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase; methenyltetrahydrofolate cyclohydrolase	14	2	2	0	4	5	0	9	21	838	1614
SL1344_0536	fimA	type-1 fimbrial protein, a chain precursor	8	2	0	0	0	0	0	0	4	4679	5283
SL1344_0537	fimI	major pilin protein	12	0	0	0	0	0	0	0	0	1077	1523
SL1344_0538	fimC	fimbrial chaperone protein	6	4	0	0	0	0	2	0	2	425	602
SL1344_0539	fimD	outer membrane usher protein FimD precursor	26	20	0	0	2	0	4	0	6	373	525
SL1344_0540	fimH	FimH protein precursor	8	4	0	0	0	0	0	0	6	381	372
SL1344_0541	fimF	putative fimbrial protein in fimZ 5' region	7	3	0	0	0	0	0	0	4	123	141
SL1344_0542	fimZ	probable transcriptional regulator (FimXZ protein)	2	0	0	0	0	0	2	0	0	2520	2787
SL1344_0543	fimY	fimbriae Y protein	4	0	0	0	0	0	0	1	0	751	563
SL1344_0544	SL0544	hypothetical protein	5	0	0	0	0	0	2	0	1	1030	303
SL1344_0545	fimW	fimbriae w protein	8	4	1	2	0	0	6	0	1	1002	709
SL1344_0546	SL0546	transposase (pseudogene)	0	0	0	0	0	0	6	2	0	160	96
SL1344_0547	SL0547	putative membrane protein	17	9	0	2	0	0	3	2	15	367	522
SL1344_0548	gtrB	bactoprenol glucosyl transferase	6	8	0	0	0	2	1	0	5	391	663
SL1344_0549	gtrA	bactoprenol-linked glucose translocase	4	2	0	0	2	2	1	0	0	458	531
SL1344_0550	SL0550	Two component regulator sensor kinase (fragment)	0	6	0	0	0	0	0	0	5	258	325
