Protein Accession No	Gene	Protein Description	Protein Mr	uninfected mouse 	Group 1	Group 2	Group 3	Group 1/Group2	Group 1/Group 3	Group 2/Group 3
SL1344_2794	proV 	SL1344_2794 glycine betaine/l-proline transport ATP-binding protein 2978527:2979729 forward MW:44125	44097	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_2795	proW 	SL1344_2795 glycine betaine/L-proline transport system permease protein P 2979722:2980786 forward MW:37727	37702	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2796	proX 	SL1344_2796 glycine betaine-binding periplasmic protein precursor 2980856:2981851 forward MW:36153	36130	0.00000%	0.00000%	0.00000%	0.00000%	0	-7.0660891905	-7.0660891905
SL1344_2798	emrR 	SL1344_2798 hypothetical transcriptional regulator 2983697:2984227 forward MW:20537	20524	0.00000%	0.00000%	0.00000%	0.00134%	0	0	0
SL1344_2799	emrA 	SL1344_2799 multidrug resistance protein A 2984354:2985526 forward MW:42501	42475	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2802	luxS 	SL1344_2802 S-ribosylhomocysteinase 2988846:2989361 reverse MW:19308	19296	0.00000%	0.00000%	0.00000%	0.00000%	-9.4737057496	0	9.4737057496
SL1344_2803	gshA 	SL1344_2803 Glutamate--cysteine ligase 2989511:2991067 reverse MW:58384	58347	0.00000%	0.00000%	0.00711%	0.00000%	0	-6.3575520046	-6.3575520046
SL1344_2805	yqaB 	SL1344_2805 conserved hypothetical protein 2991566:2992132 reverse MW:20721	20708	0.00000%	0.00000%	0.00000%	0.00082%	-8.3128829553	0	8.3128829553
SL1344_2806	csrA 	SL1344_2806 carbon storage regulator 2993527:2993712 reverse MW:6856	6852	0.00000%	0.00000%	0.00318%	0.00000%	0	-7.672425342	-7.672425342
SL1344_2807	alaS 	SL1344_2807 Alanyl-tRNA synthetase 2993947:2996577 reverse MW:95900	95840	0.00000%	0.00000%	0.00000%	0.00204%	-11.4752267777	-11.5063075811	-0.0310808034
SL1344_2809	recA 	SL1344_2809 RecA protein 2997430:2998491 reverse MW:37944	37921	0.00000%	0.00000%	0.02847%	0.02909%	-8.4027075612	-6.9740047915	1.4287027697
SL1344_2810	ygaD 	SL1344_2810 conserved hypothetical protein 2998576:2999073 reverse MW:17553	17543	0.00000%	0.00007%	0.02369%	0.00880%	0	0	0
SL1344_2811	mltB 	SL1344_2811 membrane-bound lytic transglycosylase B precursor 2999551:3000630 reverse MW:39981	39956	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2813	srlE 	SL1344_2813 PTS system, glucitol/sorbitol-specific IIBC component 3001444:3002415 forward MW:33713	33692	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2815	gutD 	SL1344_2815 sorbitol-6-phosphate 2-dehydrogenase (glucitol-6-phosphate dehydrogenase) 3002801:3003580 forward MW:27876	27858	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2817	srlR 	SL1344_2817 glucitol operon repressor 3004213:3004986 forward MW:28062	28044	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2818	gutQ 	SL1344_2818 hypothetical phosphosugar binding protein 3004979:3005944 forward MW:34135	34113	0.00000%	0.00000%	0.00000%	0.00000%	-8.2946207489	0	8.2946207489
SL1344_2819	norR 	SL1344_2819 transcriptional activator of norVW. NO responsive 3005941:3007461 reverse MW:55375	55340	0.00000%	0.00000%	0.00314%	0.00000%	0	0	0
SL1344_2822	hydA 	SL1344_2822 hydrogenase maturation protein 3010313:3012553 reverse MW:81102	81050	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2823	hydN 	SL1344_2823 electron transport protein 3012699:3013244 reverse MW:19531	19519	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2825	hycI 	SL1344_2825 hydrogenase 3 maturation protease 3014281:3014751 reverse MW:17042	17031	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2826	hycH 	SL1344_2826 formate hydrogenlyase maturation protein 3014744:3015154 reverse MW:15594	15585	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2827	hycG 	SL1344_2827 formate hydrogenlyase subunit 7 3015151:3015918 reverse MW:27967	27949	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2828	hycF 	SL1344_2828 formate hydrogenlyase subunit 6 3015918:3016460 reverse MW:20324	20311	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2829	hycE 	SL1344_2829 formate hydrogenlyase subunit 5 3016470:3018179 reverse MW:65021	64979	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2830	hycD 	SL1344_2830 formate hydrogenlyase subunit 4 3018197:3019120 reverse MW:33056	33035	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2831	hycC 	SL1344_2831 formate hydrogenlyase subunit 3 3019123:3020949 reverse MW:63760	63718	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2832	hycB 	SL1344_2832 formate hydrogenlyase subunit 2 3020949:3021557 reverse MW:21712	21698	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2833	hycA 	SL1344_2833 formate hydrogenlyase regulatory protein 3021703:3022164 reverse MW:17791	17780	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2834	hypA 	SL1344_2834 Probable hydrogenase nickel incorporation protein hypA. 3022374:3022730 forward MW:13485	13477	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2835	hypB 	SL1344_2835 hydrogenase isoenzymes formation protein HypB 3022799:3023671 forward MW:31393	31373	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3219280949	-5.3219280949
SL1344_2837	hypD 	SL1344_2837 hydrogenase isoenzymes formation protein HypD 3023934:3025055 forward MW:41559	41532	0.00000%	0.00000%	0.00000%	0.00040%	0	0	0
SL1344_2838	hypE 	SL1344_2838 hydrogenase isoenzymes formation protein HypE 3025052:3026062 forward MW:35322	35300	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2839	fhlA 	SL1344_2839 transcriptional activator of the formate hydrogenlyase system 3026281:3028359 forward MW:78253	78204	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2841	sitA 	SL1344_2841 Iron transport protein, periplasmic-binding protein 3028947:3029864 forward MW:33722	33702	0.00000%	0.00000%	0.00000%	0.00000%	0	-11.5235619561	-11.5235619561
SL1344_2842	sitB 	SL1344_2842 Iron transport protein, ATP-binding component 3029861:3030682 forward MW:29782	29763	0.00000%	0.00000%	0.00000%	0.02944%	0	-8.6110247973	-8.6110247973
SL1344_2845	avrA 	SL1344_2845 Type III secretion system effector protein-regulator of Salmonella-induced inflammatory response 3032477:3033382 reverse MW:33632	33610	0.00000%	0.00000%	0.00000%	0.00391%	0	0	0
SL1344_2846	sprB 	SL1344_2846 AraC-family transcriptional regulator 3033543:3034298 reverse MW:28589	28571	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2847	hilC 	SL1344_2847 AraC-family transcriptional regulator 3034683:3035570 reverse MW:33883	33861	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2849	orgA 	SL1344_2849 oxygen-regulated invasion protein 3036364:3037044 reverse MW:26462	26446	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2850	orgA 	SL1344_2850 oxygen-regulated invasion protein 3037001:3037600 reverse MW:22832	22817	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2851	prgK 	SL1344_2851 type III secretion system apparatus 3037572:3038330 reverse MW:28210	28193	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3219280949	-5.3219280949
SL1344_2852	prgJ 	SL1344_2852 type III secretion system apparatus 3038327:3038632 reverse MW:10926	10920	0.00000%	0.00000%	0.00000%	0.00040%	0	0	0
SL1344_2853	prgI 	SL1344_2853 type III secretion system apparatus 3038651:3038893 reverse MW:8856	8851	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2854	prgH 	SL1344_2854 type III secretion apparatus component 3038918:3040096 reverse MW:44460	44432	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2855	hilD 	SL1344_2855 AraC-family transcriptional regulator 3040412:3041341 forward MW:35218	35196	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2856	hilA 	SL1344_2856 invasion protein regulator 3042432:3044093 forward MW:63041	63001	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2858	sptP 	SL1344_2858 Type III secretion system effector protein, Inhibits Cdc42 and Rac1 by its GAP activity and MAPK signalling and IL-8 secretion through its tyrosine phosphatase activity 3044647:3046278 reverse MW:60048	60010	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2859	sicP 	SL1344_2859 chaperone (associated with virulence) 3046265:3046657 reverse MW:14467	14458	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2861	sipA 	SL1344_2861 pathogenicity island 1 Type III secretion system effector protein-involved in actin bundling and polymerisation leading to epithelial cell invasion and formation of the SCV 3047255:3049312 reverse MW:73942	73897	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.2479275134	-5.2479275134
SL1344_2862	sipD 	SL1344_2862 pathogenicity island 1  Type III secretion system apparatus-part of the Translocon 3049331:3050362 reverse MW:37112	37090	0.00000%	0.00000%	0.00000%	0.00038%	0	0	0
SL1344_2863	sipC 	SL1344_2863 pathogenicity island 1 Type III secretion system effector protein-involved in bacterial entry by actin bundling and part of the Translocon 3050433:3051662 reverse MW:42983	42957	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.3575520046	-6.3575520046
SL1344_2864	sipB 	SL1344_2864 pathogenicity island 1 Type III secretion system effector protein 3051690:3053471 reverse MW:62451	62412	0.00000%	0.00000%	0.00000%	0.00082%	0	-6.3219280949	-6.3219280949
SL1344_2865	sicA 	SL1344_2865 type III secretion-associated chaperone 3053474:3053971 reverse MW:19220	19208	0.00000%	0.00000%	0.00000%	0.00080%	0	0	0
SL1344_2866	spaS 	SL1344_2866 type III secretion system secretory apparatus 3054109:3055179 reverse MW:40093	40068	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2868	spaQ 	SL1344_2868 type III secretion system secretory apparatus 3055961:3056221 reverse MW:9359	9353	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2869	spaP 	SL1344_2869 type III secretion system secretory apparatus 3056247:3056921 reverse MW:25232	25215	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2870	spaO 	SL1344_2870 surface presentation of antigens protein (associated with type III secretion and virulence) 3056911:3057822 reverse MW:33794	33772	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2871	invJ 	SL1344_2871 surface presentation of antigens protein (associated with type III secretion and virulence) 3057822:3058832 reverse MW:36437	36415	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2873	invC 	SL1344_2873 secretory apparatus ATP synthase (associated with virulence) 3059253:3060548 reverse MW:47611	47581	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2874	invB 	SL1344_2874 chaperone protein for type III secretion system effectors 3060545:3060952 reverse MW:14919	14909	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_2875	invA 	SL1344_2875 secretory apparatus of type III secretion system 3060976:3063033 reverse MW:76056	76007	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_2876	invE 	SL1344_2876 cell invasion protein 3063058:3064176 reverse MW:42421	42395	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2877	invG 	SL1344_2877 type III secretion system secretory apparatus 3064173:3065861 reverse MW:61766	61727	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.3353903547	-8.3353903547
SL1344_2878	invF 	SL1344_2878 AraC-family regulatory protein 3065858:3066508 reverse MW:24389	24374	0.00000%	0.00000%	0.00000%	0.00323%	0	0	0
SL1344_2879	invH 	SL1344_2879 outer membrane lipoprotein 3066965:3067408 forward MW:16454	16444	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_2882	0	SL1344_2882 salmonella pathogenicity island 1 protein 3068893:3069219 reverse MW:12922	12914	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_2884	0	SL1344_2884 salmonella pathogenicity island 1 protein 3069908:3070198 forward MW:10678	10672	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2885	0	SL1344_2885 salmonella pathogenicity island 1 protein 3070195:3070722 forward MW:19070	19058	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2888	mutS 	SL1344_2888 DNA mismatch repair protein 3072897:3075422 forward MW:93757	93698	0.00000%	0.00000%	0.00000%	0.00000%	-9.3923174228	-8.4838157773	0.9085016455
SL1344_2893	0	SL1344_2893 conserved hypothetical protein 3079618:3080568 reverse MW:34176	34155	0.00000%	0.00000%	0.00672%	0.00358%	0	0	0
SL1344_2898	ygbI 	SL1344_2898 DeoR-family trancriptional regulator 3084385:3085149 forward MW:27425	27407	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2899	slyA 	SL1344_2899 hypothetical regulatory protein 3085168:3085572 reverse MW:15617	15607	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2904	nlpD 	SL1344_2904 lipoprotein NlpD precursor 3089110:3090243 reverse MW:39641	39617	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.4262647547	-6.4262647547
SL1344_2905	pcm 	SL1344_2905 Protein-L-isoaspartate O-methyltransferase 3090419:3091045 reverse MW:23192	23177	0.00000%	0.00000%	0.00000%	0.00086%	0	0	0
SL1344_2906	surE 	SL1344_2906 Acid phosphatase surE 3091039:3091800 reverse MW:26980	26964	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2907	truD 	SL1344_2907 tRNA pseudouridine synthase D 3091781:3092830 reverse MW:39333	39308	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.4093909361	-6.4093909361
SL1344_2908	ispF 	SL1344_2908 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase 3092827:3093306 reverse MW:16899	16889	0.00000%	0.00000%	0.00000%	0.00085%	0	0	0
SL1344_2909	ispD 	SL1344_2909 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 3093306:3094016 reverse MW:25755	25739	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2910	ftsB 	SL1344_2910 Cell division protein ftsB homolog. 3094035:3094346 reverse MW:11575	11568	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3575520046	-5.3575520046
SL1344_2915	iap 	SL1344_2915 alkaline phosphatase isozyme conversion protein 3098111:3099157 forward MW:38230	38207	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_2918	ygcH 	SL1344_2918 conserved hypothetical protein 3101466:3102116 reverse MW:24908	24893	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2920	yghJ 	SL1344_2920 hypothetical protein 3102855:3103913 reverse MW:38668	38644	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2924	sopD 	SL1344_2924 Type III secretion system effector protein-involved in bacterial invasion, also promotes secretion or accumulation of fluid 3109160:3110113 forward MW:36141	36118	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2928	ptpS 	SL1344_2928 6-pyruvoyl tetrahydrobiopterin synthase 3114946:3115308 forward MW:13617	13609	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2930	ygcF 	SL1344_2930 conserved hypothetical protein 3118020:3118691 reverse MW:24993	24978	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2931	eno 	SL1344_2931 Enolase 3118827:3120125 reverse MW:45599	45570	0.00000%	0.00000%	0.00000%	0.00000%	-6.8113746935	-7.5379463604	-0.7265716669
SL1344_2932	pyrG 	SL1344_2932 CTP synthase 3120208:3121845 reverse MW:60122	60084	0.00000%	0.00064%	0.07188%	0.11894%	-4.2667865407	-4.5812005819	-0.3144140412
SL1344_2933	mazG 	SL1344_2933 conserved hypothetical protein 3122073:3122873 reverse MW:30831	30811	0.00000%	0.00016%	0.00308%	0.00383%	0	0	0
SL1344_2937	relA 	SL1344_2937 GTP pyrophosphokinase 3124343:3126577 reverse MW:84115	84061	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.0056245492	-8.0056245492
SL1344_2938	rumA 	SL1344_2938 hypothetical RNA methyltransferase 3126629:3127924 reverse MW:47768	47738	0.00000%	0.00000%	0.00000%	0.00257%	0	0	0
SL1344_2939	barA 	SL1344_2939 sensor protein 3127982:3130738 forward MW:102571	102504	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2941	gudD 	SL1344_2941 probable glucarate dehydratase 1 3132002:3133342 reverse MW:49174	49143	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.2479275134	-5.2479275134
SL1344_2944	0	SL1344_2944 conserved hypothetical protein 3136539:3136988 reverse MW:16249	16239	0.00000%	0.00000%	0.00000%	0.00038%	0	-5.3575520046	-5.3575520046
SL1344_2947	syd 	SL1344_2947 syd protein 3138730:3139275 reverse MW:20518	20505	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_2948	queF 	SL1344_2948 conserved hypothetical protein 3139344:3140192 forward MW:32673	32653	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3923174228	-5.3923174228
SL1344_2949	ygdH 	SL1344_2949 conserved hypothetical protein 3140305:3141669 forward MW:50754	50721	0.00000%	0.00000%	0.00000%	0.00042%	0	-9.0498485495	-9.0498485495
SL1344_2950	sdaC 	SL1344_2950 hypothetical serine transporter 3142234:3143523 forward MW:46860	46829	0.00000%	0.00000%	0.00000%	0.00530%	0	-5.3923174228	-5.3923174228
SL1344_2951	sdaB 	SL1344_2951 L-serine dehydratase 2 (L-serine deaminase 2) 3143582:3144949 forward MW:48910	48879	0.00000%	0.00000%	0.00000%	0.00042%	0	0	0
SL1344_2952	exo 	SL1344_2952 5~-3~ exonuclease 3145060:3145875 forward MW:30583	30564	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2953	fucO 	SL1344_2953 1,2-propanediol oxidoreductase (lactaldehyde reductase) 3145967:3147115 reverse MW:40538	40513	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2954	fucA 	SL1344_2954 fuculose-1-phosphate aldolase 3147132:3147779 reverse MW:23721	23706	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2956	fucI 	SL1344_2956 L-fuculose isomerase 3149682:3151457 forward MW:64771	64729	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.3750394313	-6.3750394313
SL1344_2958	fucU 	SL1344_2958 fuscose operon fucU protein 3152978:3153400 forward MW:15280	15271	0.00000%	0.00000%	0.00000%	0.00083%	0	-5.3575520046	-5.3575520046
SL1344_2959	fucR 	SL1344_2959 l-fucose operon activator 3153458:3154168 forward MW:26444	26428	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_2960	ygdE 	SL1344_2960 conserved hypothetical protein 3154227:3155327 reverse MW:42020	41993	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2962	gcvA 	SL1344_2962 regulatory protein for glycine cleavage pathway 3155734:3156651 reverse MW:34390	34369	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2963	ygdI 	SL1344_2963 possible lipoprotein 3156998:3157225 reverse MW:8126	8121	0.00000%	0.00000%	0.00000%	0.00000%	-8.413627929	-6.7004397181	1.7131882109
SL1344_2964	csdA 	SL1344_2964 possible aminotransferase 3157418:3158623 forward MW:43169	43142	0.00000%	0.00000%	0.00341%	0.00104%	0	0	0
SL1344_2965	ygdK 	SL1344_2965 conserved hypothetical protein 3158623:3159066 forward MW:16022	16012	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3575520046	-5.3575520046
SL1344_2967	ygdL 	SL1344_2967 conserved hypothetical protein 3160305:3161111 reverse MW:28651	28633	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_2968	mltA 	SL1344_2968 membrane-bound lytic murein transglycosylase A precursor 3161221:3162318 reverse MW:40270	40245	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2969	amiC 	SL1344_2969 N-acetylmuramoyl-L-alanine amidase 3162818:3164071 reverse MW:45614	45585	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2970	argA 	SL1344_2970 Amino-acid acetyltransferase 3164304:3165635 forward MW:49279	49248	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.2479275134	-5.2479275134
SL1344_2971	recD 	SL1344_2971 exonuclease V alpha-subunit 3165738:3167573 reverse MW:66526	66484	0.00000%	0.00000%	0.00000%	0.00038%	0	0	0
SL1344_2972	recB 	SL1344_2972 exonuclease V subunit 3167570:3171115 reverse MW:133814	133728	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2973	ptr 	SL1344_2973 protease III precursor (pitrilysin) 3171108:3173996 reverse MW:107487	107419	0.00000%	0.00000%	0.00000%	0.00000%	0	-5.3575520046	-5.3575520046
SL1344_2974	recC 	SL1344_2974 exonuclease V subunit 3174174:3177545 reverse MW:129047	128964	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_2979	thyA 	SL1344_2979 Thymidylate synthase 3179479:3180273 reverse MW:30368	30349	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2980	lgt 	SL1344_2980 Prolipoprotein diacylglyceryl transferase 3180280:3181155 reverse MW:33075	33053	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2981	ptsP 	SL1344_2981 phosphoenolpyruvate-protein phosphotransferase 3181371:3183617 reverse MW:83627	83574	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.4093909361	-6.4093909361
SL1344_2982	nudH 	SL1344_2982 RNA pyrophosphohydrolase 3183630:3184160 reverse MW:20806	20793	0.00000%	0.00000%	0.00000%	0.00085%	0	0	0
SL1344_2983	mutH 	SL1344_2983 DNA mismatch repair protein mutH 3184843:3185538 forward MW:25409	25394	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2984	ygdQ 	SL1344_2984 hypothetical membrane protein 3185720:3186433 forward MW:26151	26134	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2985	ygdR 	SL1344_2985 possible lipoprotein 3186603:3186821 forward MW:7826	7822	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2986	tas 	SL1344_2986 possible oxidoreductase 3187012:3188052 forward MW:38564	38540	0.00000%	0.00000%	0.00000%	0.00000%	0	-6.3923174228	-6.3923174228
SL1344_2988	aas 	SL1344_2988 2-acylglycerophosphoethanolamine acyl transferase/acyl carrier protein synthetase 3189334:3191493 reverse MW:80510	80458	0.00000%	0.00000%	0.00000%	0.00084%	0	-5.3575520046	-5.3575520046
SL1344_2989	galR 	SL1344_2989 galactose operon repressor 3192086:3193114 forward MW:36869	36846	0.00000%	0.00000%	0.00000%	0.00041%	0	0	0
SL1344_2991	lysA 	SL1344_2991 diaminopimelate decarboxylase 3194157:3195419 reverse MW:45999	45969	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2992	lysR 	SL1344_2992 transcriptional activator protein LysR 3195537:3196472 forward MW:34534	34512	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2993	ygeA 	SL1344_2993 conserved hypothetical protein 3196444:3197151 reverse MW:25850	25834	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2995	kduD 	SL1344_2995 2-keto-3-deoxygluconate oxidoreductase 3199036:3199797 reverse MW:27024	27007	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_2997	yqeF 	SL1344_2997 probable acetyl-CoA acetyltransferase 3201120:3202298 reverse MW:40910	40884	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3001	yohL 	SL1344_3001 conserved hypothetical protein 3205245:3205517 reverse MW:10208	10202	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3011	0	SL1344_3011 hypothetical protein (assiciated with virulence) 3215876:3216274 reverse MW:14938	14929	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3014	0	SL1344_3014 possible lipoprotein 3218295:3219053 reverse MW:26652	26636	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3015	idi 	SL1344_3015 Isopentenyl-diphosphate delta-isomerase 3219318:3219863 forward MW:20781	20768	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3016	lysS 	SL1344_3016 Lysyl-tRNA synthetase 3219939:3221456 reverse MW:57576	57539	0.00000%	0.00000%	0.00000%	0.00000%	-5.4451048371	-7.1559181434	-1.7108133063
SL1344_3017	prfB 	SL1344_3017 peptide chain release factor 2 (RF-2) 3221466:3222542 reverse MW:40111	40087	0.00000%	0.00023%	0.01002%	0.03280%	0	-7.0552824355	-7.0552824355
SL1344_3018	recJ 	SL1344_3018 single-stranded DNA-specific exonuclease 3222669:3224402 reverse MW:63367	63327	0.00000%	0.00000%	0.00000%	0.00133%	0	0	0
SL1344_3019	dsbC 	SL1344_3019 thiol:disulfide interchange protein 3224408:3225082 reverse MW:24298	24282	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3020	xerD 	SL1344_3020 Tyrosine recombinase xerD. 3225145:3226041 reverse MW:34220	34199	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3021	fldB 	SL1344_3021 flavodoxin II 3226154:3226675 forward MW:19629	19616	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3023	ygfY 	SL1344_3023 conserved hypothetical protein 3227122:3227388 reverse MW:10550	10543	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3024	ygfZ 	SL1344_3024 conserved hypothetical protein 3227638:3228618 forward MW:35972	35949	0.00000%	0.00000%	0.00000%	0.00000%	3	-6.4450148459	-9.4450148459
SL1344_3026	yqfB 	SL1344_3026 conserved hypothetical protein 3229557:3229868 reverse MW:11899	11892	0.00000%	0.00008%	0.00000%	0.00697%	0	-5.3923174228	-5.3923174228
SL1344_3027	bglA 	SL1344_3027 6-phospho-beta-glucosidase 3230027:3231460 forward MW:55103	55068	0.00000%	0.00000%	0.00000%	0.00042%	0	-5.3923174228	-5.3923174228
SL1344_3029	gcvP 	SL1344_3029 Glycine dehydrogenase [decarboxylating] 3232857:3235730 reverse MW:104288	104221	0.00000%	0.00000%	0.00000%	0.00042%	-8.1784870149	-8.0016092529	0.1768777621
SL1344_3030	gcvH 	SL1344_3030 Glycine cleavage system H protein. Probable glycine cleavage system H protein. 3235893:3236282 reverse MW:13841	13833	0.00000%	0.00007%	0.02028%	0.01794%	0	0	0
SL1344_3031	gcvT 	SL1344_3031 Aminomethyltransferase 3236308:3237402 reverse MW:40217	40191	0.00000%	0.00000%	0.00000%	0.00000%	-10.4928546202	-8.4878400338	2.0050145864
SL1344_3032	visC 	SL1344_3032 possible monooxygenase 3237857:3239059 reverse MW:44009	43981	0.00000%	0.00000%	0.01441%	0.00359%	0	0	0
SL1344_3033	ubiH 	SL1344_3033 2-octaprenyl-6-methoxyphenol hydroxylase 3239185:3240363 reverse MW:41755	41729	0.00000%	0.00000%	0.00000%	0.00000%	0	0	0
SL1344_3034	pepP 	SL1344_3034 proline aminopeptidase II 3240360:3241502 reverse MW:42481	42455	0.00000%	0.00000%	0.00000%	0.00000%	0	-8.4594316186	-8.4594316186
