Gene	Alias	BRecon Gene function	JCVI Common Name	Primary Common Name	Primary Enzyme Commission #	JCVI 5' End	JCVI 3' End	JCVI  Sequence Length	JCVI  Protein Length	UniProt Accession	GenBank ID	GO Term
STM2259	napA		periplasmic nitrate reductase	periplasmic nitrate reductase, large subunit, in complex	1.7.99.4	2358904	2356418	2487	828	Q8ZNH6	AAL21161.1	GO:0006118
STM2260	no		napD protein, putative	periplasmic nitrate reductase	No Data	2359164	2358901	264	87	Q7CQ60	AAL21162.1	GO:0006118
STM2267	ompC		outer membrane porin C	outer membrane protein 1b (ibc), porin	No Data	2366579	2365443	1137	378	P0A263	AAL21169.1	No Data
STM2276	ubiG		ubiG	3-demethylubiquinone-9 3-methyltransferase and 2-octaprenyl-6-hydroxy phenol methylase	2.1.1.64	2380265	2381044	780	259	P37431	AAL21177.1	No Data
STM2277	nrdA		ribonucleoside-diphosphate reductase, alpha chain	ribonucleoside diphosphate reductase 1, alpha subunit	1.17.4.1	2381400	2383685	2286	761	P37426	AAL21178.1	GO:0004748
STM2278	nrdA		Ribonucleotide reductase, beta subunit	ribonucleoside-diphosphate reductase 1, beta subunit	1.17.4.1	2383798	2384928	1131	376	P37427	AAL21179.1	GO:0004748
STM2282	glpQ		glycerophosphoryl diester phosphodiesterase	glycerophosphodiester phosphodiesterase, periplasmic	3.1.4.46	2388600	2387530	1071	356	Q8ZNG7	AAL21183.1	GO:0008889
STM2283	glpT		glycerol-3-phosphate transporter	MFS family, sn-glycerol-3-phosphate transport protein	No Data	2389960	2388605	1356	451	Q8ZNG6	AAL21184.1	GO:0015169
STM2284	glpA		anaerobic glycerol-3-phosphate dehydrogenase, subunit A	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit	1.1.99.5	2390236	2391864	1629	542	Q8ZNG5	AAL21185.1	GO:0004368
STM2285	glpA		anaerobic glycerol-3-phosphate dehydrogenase, subunit B	sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit	1.1.99.5	2391854	2393113	1260	419	Q8ZNG4	AAL21186.1	GO:0004368
STM2286	glpA		anaerobic glycerol-3-phosphate dehydrogenase, subunit C	sn-glycerol-3-phosphate dehydrogenase (anaerobic), K-small subunit	1.1.99.5	2393110	2394300	1191	396	Q8ZNG3	AAL21187.1	GO:0004368
STM2289	hpcH		2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	putative 2,4-dihydoxyhept-2-ene-1,7-dioic acid aldolase	No Data	2396753	2396040	714	237	Q8ZNG0	AAL21190.1	No Data
STM2295	no		putative NTP pyrophosphohydrolases including oxidative damage repair enzymes	putative NTP pyrophosphohydrolases including oxidative damage repair	No Data	2402597	2403022	426	141	Q8ZNF5	AAL21196.1	No Data
STM2297	arnB		flagellin modification protein FlmB	putative DegT/DnrJ/EryC1/StrS family	No Data	2403971	2405110	1140	379	Q8ZNF3	AAL21198.1	No Data
STM2298	arnC		glycosyl transferase, group 2 family protein, putative	putative glycosyl transferase	No Data	2405113	2406096	984	327	O52324	AAL21199.1	No Data
STM2299	arnA		paral putative transformylase (1st module)	paral putative transformylase	No Data	2406093	2408075	1983	660	O52325	AAL21200.1	No Data
STM2301	pqaB		putative melittin resistance protein, PqaB	putative melittin resistance protein, PqaB, affects polymycin	No Data	2408968	2410614	1647	548	O52327	AAL21202.1	No Data
STM2305	menE		o-succinylbenzoic acid--coa ligase , fragment	o-succinylbenzoate-CoA ligase	6.2.1.26	2413040	2411673	1368	455	P37418	AAL21206.1	No Data
STM2306	menC		O-succinylbenzoate-CoA synthase	o-succinylbenzoyl-CoA synthase	4.2.1.	2413963	2413037	927	308	P58486	AAL21207.1	No Data
STM2307	menB		naphthoate synthase	dihydroxynaphtoic acid synthetase	4.1.3.36	2414856	2413999	858	285	Q7CQ56	AAL21208.1	GO:0008935
STM2309	menD		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase	bifunctional: 2-oxoglutarate decarboxylase SHCHC synthase	4.1.3.	2417314	2415626	1689	562	Q8ZNE8	AAL21210.1	GO:0008683
STM2310	menF		isochorismate synthase (isochorismate hydroxymutase 2), menaquinone biosynthesis	isochorismate synthase (isochorismate hydroxymutase 2), menaquinone biosynthesis	5.4.99.6	2418677	2417382	1296	431	Q8ZNE7	AAL21211.1	No Data
STM2316.S	nuoN		NADH dehydrogenase subunit N		1.6.5.3							
STM2317	nuoM		NADH dehydrogenase I, M subunit	NADH dehydrogenase I chain M	1.6.5.3	2427347	2425818	1530	509	Q8ZNE3	AAL21218.1	No Data
STM2318	nuo		NADH-ubiquinone oxidoreductase, NQO12 subunit	NADH dehydrogenase I chain L	1.6.5.3	2429502	2427661	1842	613	Q8ZNE2	AAL21219.1	No Data
STM2319	nuoK		NADH dehydrogenase I, K subunit	NADH dehydrogenase I chain K	1.6.5.3	2429801	2429499	303	100	Q7CQ53	AAL21220.1	No Data
STM2320	nuoJ		NADH dehydrogenase I, J subunit	NADH dehydrogenase I chain J	1.6.5.3	2430352	2429798	555	184	Q7CQ52	AAL21221.1	No Data
STM2321	nuoI		NADH dehydrogenase I, I subunit	NADH dehydrogenase I chain I	1.6.5.3	2430935	2430363	573	190	Q7CQ51	AAL21222.1	No Data
STM2322	nuoH		NADH dehydrogenase subunit	NADH dehydrogenase I chain H	1.6.5.3	2431897	2430920	978	325	Q60010	AAL21223.1	No Data
STM2323.S	nuoG		NADH dehydrogenase subunit G		1.6.5.3							
STM2324	nuoF		NADH dehydrogenase subunit	NADH dehydrogenase I chain F	1.6.5.3	2435988	2434651	1338	445	P33901	AAL21225.1	No Data
STM2325	nuoE		nadh dehydrogenase i chain e	NADH dehydrogenase I chain E	1.6.5.3	2436485	2435985	501	166	P0A1Y8	AAL21226.1	No Data
STM2326	nuoD		NADH dehydrogenase I, D subunit	NADH dehydrogenase I chain C,D	1.6.5.3	2438290	2436488	1803	600	P0A1Y6	AAL21227.1	No Data
STM2327	nuoB		NADH dehydrogenase I, B subunit	NADH dehydrogenase I chain B	1.6.5.3	2438925	2438377	549	182	Q7CQ50	AAL21228.1	No Data
STM2328	nuo		NADH dehydrogenase I, A subunit, putative	NADH dehydrogenase I chain A	1.6.5.3	2439498	2439055	444	147	Q7CQ49	AAL21229.1	No Data
STM2332	yfbR		putative hydrolase of HD superfamily	putative hydrolase of HD superfamily	No Data	2443303	2443902	600	199	Q8ZNE0	AAL21233.1	No Data
STM2337	ackA		acetate kinase	acetate kinase A (propionate kinase 2)	2.7.2.1	2447939	2449141	1203	400	P63411	AAL21238.1	GO:0006113
STM2338	pta		phosphotransacetylase (2nd module)	phosphotransacetylase	2.3.1.8	2449218	2451362	2145	714	Q8ZND6	AAL21239.1	No Data
STM2340	no		transketolase, C-terminal subunit	putative transketolase	2.2.1.1	2454132	2453149	984	327	Q8ZND5	AAL21241.1	No Data
STM2341	tkt		transketolase, N-terminal subunit	putative transketolase	2.2.1.1	2454925	2454095	831	276	Q8ZND4	AAL21242.1	No Data
STM2351	hisP		amino acid ABC transporter, ATP-binding protein	ABC superfamily (atp_bind), histidine and lysine/arginine/ornithine transport	No Data	2462808	2462131	678	225	P02915	AAL21252.1	GO:0006865
STM2352	hisM		ABC superfamily (membrane),histidine and lysine/arginine/ornithine transport protein (2nd module)	ABC superfamily (membrane),histidine and lysine/arginine/ornithine transport protein	No Data	2463559	2462918	642	213	P0A2I7	AAL21253.1	No Data
STM2353	hisQ		amino acid ABC transporter, permease protein	ABC superfamily (membrane),histidine and lysine/arginine/ornithine transport system	No Data	2464308	2463622	687	228	P0A2I9	AAL21254.1	GO:0006865
STM2354	hisJ		amino acid ABC transporter, periplasmic amino acid-binding protein	ABC superfamily (bind_prot), histidine transport protein	No Data	2465285	2464491	795	264	P02910	AAL21255.1	GO:0006865
STM2355	argT		LAO protein	ABC superfamily (bind_prot), lysine/arginine/ornithine transport protein	No Data	2466293	2465511	783	260	P02911	AAL21256.1	No Data
STM2356	ubiX		3-octaprenyl-4-hydroxybenzoate carboxy-lyase	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	4.1.1.	2467151	2466582	570	189	P0A245	AAL21257.1	No Data
STM2362	purF		amidophosphoribosyltransferase	amidophosphoribosyltransferase (PRPP amidotransferase)	2.4.2.14	2475853	2474336	1518	505	Q8ZNC2	AAL21263.1	GO:0004044
STM2365	folC		folylpolyglutamate synthase/dihydrofolate synthase	multifunctional folylpolyglutamate synthase dihydrofolate synthase, also has	6.3.2.17	2478622	2477354	1269	422	Q8ZNC0	AAL21266.1	GO:0004326
STM2366	accD		acetyl-CoA carboxylase, carboxyl transferase, beta subunit	acetylCoA carboxylase, beta subunit	6.4.1.2	2479682	2478690	993	330	Q7CQ41	AAL21267.1	GO:0003989
STM2370	pdxB		erythronate-4-phosphate dehyrogenase (2nd module)	erythronate-4-phosphate dehyrogenase	1.1.1.-	2483605	2482355	1251	416	P60802	AAL21271.1	No Data
STM2378	fabB		3-oxoacyl-(acyl-carrier-protein) synthase I	3-oxoacyl-[acyl-carrier-protein] synthase I	2.3.1.41	2489707	2488622	1086	361	Q7CQ36	AAL21279.1	No Data
STM2383	mepA		murein DD-endopeptidase, penicillin-insensitive (1st module)	murein DD-endopeptidase, penicillin-insensitive	3.4.99.-	2494537	2493713	825	274	Q8ZNB0	AAL21284.1	No Data
STM2384	aroC		chorismate synthase	chorismate synthase	4.6.1.4	2495626	2494541	1086	361	P58729	AAL21285.1	GO:0004107
STM2388	yfcX		fatty oxidation complex, alpha subunit	paral putative dehydrogenase	4.2.1.17	2500252	2498105	2148	715	Q8ZNA7	AAL21289.1	GO:0003857
STM2389	hadHB		fatty oxidation complex, beta subunit	paral putative acetyl-CoA acetyltransferase	2.3.1.16	2501562	2500252	1311	436	Q8ZNA6	AAL21290.1	GO:0003988
STM2391	fadL		transport of long-chain fatty acids; sensitivity to phage T2	transport of long-chain fatty acids sensitivity to	No Data	2502395	2503702	1308	435	Q8ZNA5	AAL21292.1	No Data
STM2392	vacJ		vacJ lipoprotein	lipoprotein precursor	No Data	2504518	2503763	756	251	Q7CQ32	AAL21293.1	No Data
STM2393	no		putative transport	putative transport	No Data	2504807	2505748	942	313	Q8ZNA4	AAL21294.1	No Data
STM2399	pgtP	Phosphoglycerate transport: transporter	transporter protein pgtP	Phosphoglycerate transport: transporter	No Data	2512130	2513521	1392	463	P12681	AAL21299.1	No Data
STM2401	htrB		lipid A biosynthesis lauroyl acyltransferase	cold shock-induced palmitoleoyl transferase	No Data	2514480	2515481	1002	333	Q8ZNA3	AAL21301.1	GO:0008415
STM2403	glk		glucokinase	glucokinase	2.7.1.2	2518929	2517964	966	321	Q93IM5	AAL21303.1	GO:0004340
STM2408	mntH		transport protein, NRAMP family	Nramp family, manganese/divalent cation transport prortein	No Data	2524978	2523719	1260	419	Q9RPF4	AAL21308.1	No Data
STM2409	no		NupC family protein, putative	NUP family, nucleoside transport	No Data	2525303	2526505	1203	400	Q8ZNA0	AAL21309.1	GO:0005337
STM2415	gltX		glutamyl-tRNA synthetase	glutamate tRNA synthetase, catalytic subunit	6.1.1.17	2531578	2530163	1416	471	P0A2K3	AAL21313.1	GO:0004818
STM2421	xapB		nucleoside permease NupG	MFS superfamily, xanthosine permease	No Data	2534719	2533547	1173	390	Q8ZN95	AAL21315.1	No Data
STM2422	deoD		purine nucleoside phosphorylase	xanthosine phosphorylase (purine nucleoside phosphorylase)	2.4.2.-	2535691	2534858	834	277	Q8ZN94	AAL21316.1	No Data
STM2427	ligA		DNA ligase, NAD-dependent	DNA ligase	6.5.1.2	2541016	2539001	2016	671	Q8ZN89	AAL21321.1	GO:0003911
STM2430	cysK		cysteine synthase A	subunit of cysteine synthase A and O-acetylserine	4.2.99.8	2543231	2544202	972	323	P0A1E3	AAL21324.1	GO:0004124
STM2431	ptsH		phosphocarrier protein HPr	PTS family, Hpr protein, phosphohistidinoprotein-hexose phosphotransferase	No Data	2544586	2544843	258	85	P0AA07	AAL21325.1	No Data
STM2432	ptsI		phosphoenolpyruvate-protein phosphotransferase	General PTS family (Enzyme I) PEP-protein phosphotransferase	2.7.3.9	2544892	2546619	1728	575	P0A249	AAL21326.1	GO:0006808
STM2433	crr		PTS system, glucose-specific IIA component	PTS family, glucose-specific IIA component	2.7.1.69	2546660	2547169	510	169	P0A283	AAL21327.1	GO:0009401
STM2435	pdxK		pyridoxal kinase	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase	2.7.1.35	2548420	2547554	867	288	P40192	AAL21329.1	GO:0008478
STM2440	cysM		cysteine synthase B	cysteine synthase B (O-acetylserine sulfhydrolase B)	4.2.99.8	2552718	2551651	1068	355	P29848	AAL21334.1	GO:0004124
STM2441	cysA		sulfate transport ATP-binding protein cysa , fragment	ABC superfamily (atp_bind), sulfate permease A protein	No Data	2553727	2552630	1098	365	P40860	AAL21335.1	GO:0008272
STM2442	cysW		sulfate ABC transporter, permease protein	ABC superfamily (membrane), thiosulfate permease W protein	No Data	2554592	2553717	876	291	Q8ZN87	AAL21336.1	GO:0008272
STM2443	cysT		sulfate ABC transporter, permease protein	ABC superfamily (membrane), thiosulfate transport protein	No Data	2555425	2554592	834	277	P41032	AAL21337.1	GO:0008272
STM2444	cysP		thiosulfate-binding protein precursor	ABC superfamily (bind_prot), thiosulfate transport protein	No Data	2556441	2555425	1017	338	P41031	AAL21338.1	No Data
STM2450	amiA		probable n-acetylmuramoyl-l-alanine amidase amia precursor	N-acetylmuramoyl-l-alanine amidase I	3.5.1.28	2560333	2561202	870	289	P33772	AAL21344.1	No Data
STM2451	hemF		coproporphyrinogen III oxidase, aerobic	coproporphyrinogen III oxidase	1.3.3.3	2561205	2562104	900	299	P33771	AAL21345.1	No Data
STM2457	eutC		ethanolamine ammonia-lyase	ethanolamine ammonia-lyase, light chain	4.3.1.7	2567232	2566336	897	298	P19265	AAL21351.1	No Data
STM2458	eutB		ethanolamine ammonia-lyase	ethanolamine ammonia-lyase, heavy chain	4.3.1.7	2568453	2567251	1203	400	P19264	AAL21352.1	No Data
STM2460	eutH		eutH gene product	putative transport protein, ethanolamine utilization	No Data	2571250	2570024	1227	408	P41796	AAL21354.1	No Data
STM2461	eutG		eutG gene product	paral putative transport protein in ethanolamine utilization	No Data	2572557	2571370	1188	395	P41795	AAL21355.1	No Data
STM2463	eutE		eutE gene product	putative aldehyde oxidoreductase in ethanolamine utilization	No Data	2574800	2573397	1404	467	P41793	AAL21357.1	No Data
STM2466	pta		phosphate acetyltransferase	putative phosphotransacetylase in ethanolamine utilization	No Data	2576559	2575543	1017	338	P41790	AAL21360.1	GO:0006086
STM2467	eutT		ethanolamine utilization cobalamin adenosyltransferase	putative cobalamin adenosyltransferase, ethanolamine utilization	2.5.1.17	2577359	2576556	804	267	Q9ZFV4	AAL21361.1	No Data
STM2472	maeB		NADP-dependent malic enzyme	paral putative transferase	1.1.1.40	2582258	2579979	2280	759	Q9ZFV8	AAL21366.1	GO:0006108
STM2473	talA		transaldolase	transaldolase A	2.2.1.2	2582530	2583480	951	316	Q8ZN83	AAL21367.1	GO:0004801
STM2474	tkt		transketolase	transketolase 2, isozyme	2.2.1.1	2583500	2585500	2001	666	Q8ZN82	AAL21368.1	GO:0004802
STM2477	no		conserved hypothetical protein TIGR00052	putative pyrophosphohydrolase	No Data	2587664	2587089	576	191	Q7CQ25	AAL21371.1	No Data
STM2483	dapE		succinyl-diaminopimelate desuccinylase	N-succinyl-diaminopimelate deacylase	3.5.1.18	2597694	2598821	1128	375	Q8ZN75	AAL21377.1	GO:0009014
STM2487	purC		phosphoribosylaminoimidazole-succinocarboxamide synthase	phosphoribosylaminoimidazole-succinocarboxamide synthetase (SAICAR synthetase)	6.3.2.6	2602817	2602104	714	237	P65889	AAL21381.1	GO:0004639
STM2489	dapA		dihydrodipicolinate synthase	dihydrodipicolinate synthase	4.2.1.52	2604921	2604043	879	292	Q8ZN71	AAL21383.1	GO:0008840
STM2492	no		putative Glycerate kinase	putative Glycerate kinase	No Data	2606509	2606156	354	117	Q8ZN69	AAL21386.1	No Data
STM2497	uraA		uracil permease	NCS2 family, uracil transport protein	No Data	2611945	2610656	1290	429	Q93A75	AAL21391.1	GO:0015393
STM2498	upp		uracil phosphoribosyltransferase	uracil phosphoribosyltransferase	2.4.2.9	2612608	2612033	576	191	P0A2M5	AAL21392.1	GO:0004845
STM2499.S	purM		phosphoribosylaminoimidazole synthetase		6.3.3.1							
STM2500	purN		polyphosphate kinase, component of RNA degradosome	polyphosphate kinase, component of RNA degradosome	2.1.2.2	2614353	2614748	396	131	P74882	AAL21394.1	No Data
STM2501	ppk		polyphosphate kinase	polyphosphate kinase, component of RNA degradosome	2.7.4.1	2614937	2617003	2067	688	O86090	AAL21395.1	No Data
STM2502	ppx		exopolyphosphatase	exopolyphosphatase	3.6.1.11	2617080	2618549	1470	489	P0A269	AAL21396.1	GO:0004309
STM2510	guaA		GMP synthase	GMP synthetase	6.3.5.2	2624382	2622805	1578	525	Q8ZN60	AAL21404.1	No Data
STM2511	guaB		inosine-5-monophosphate dehydrogenase	IMP dehydrogenase	1.1.1.205	2625924	2624452	1473	490	Q8ZN59	AAL21405.1	GO:0003938
STM2522	hisS		histidyl-tRNA synthetase	histidine tRNA synthetase	6.1.1.21	2656145	2654871	1275	424	O52765	AAL21416.1	GO:0004821
STM2523	gcpE		1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	putative protein, involved in density-dependent regulation of	No Data	2657374	2656256	1119	372	P58671	AAL21417.1	GO:0008299
STM2526	ndk		nucleoside diphosphate kinase	nucleoside diphosphate kinase	2.7.4.6	2660501	2660070	432	143	P65534	AAL21420.1	No Data
STM2528	dmsC	putative dimethylsulfoxide reductase	putative dimethylsulfoxide reductase	putative dimethylsulfoxide reductase	No Data	2662234	2661485	750	249	Q8ZN50	AAL21422.1	No Data
STM2529	dmsB		molybdopterin oxidoreductase, iron-sulfur binding subunit	putative anaerobic dimethylsulfoxide reductase	No Data	2662916	2662287	630	209	Q8ZN49	AAL21423.1	No Data
STM2530	dmsA		anaerobic dimethyl sulfoxide reductase, subunit A (1st module)	putative anaerobic dimethylsulfoxide reductase	No Data	2665318	2662913	2406	801	Q8ZN48	AAL21424.1	No Data
STM2531	pbpC		penicillin-binding protein, 1A family	transglycosylase of penicillin-binding protein 1c	No Data	2667762	2665447	2316	771	Q8ZN47	AAL21425.1	No Data
STM2533	sseA		rhodanese family protein	putative sulfurtransferase	2.8.1.1	2672906	2673748	843	280	Q8ZN45	AAL21427.1	GO:0004792
STM2536	pepB		peptidase B	putative aminopeptidase	No Data	2677551	2676118	1434	477	Q9RF52	AAL21430.1	GO:0006508
STM2543	nifS		nifS protein	putative aminotransferase class-V	No Data	2682751	2681537	1215	404	Q8ZN40	AAL21437.1	No Data
STM2546	suhB		inositol monophosphate family protein	inositol monophosphatase	No Data	2684435	2685238	804	267	P58537	AAL21440.1	GO:0003824
STM2548	asrA	anaerobic sulfide reductase	anaerobic sulfite reductase subunit a	anaerobic sulfide reductase	No Data	2686443	2687486	1044	347	P26474	AAL21442.1	No Data
STM2549	asrB	anaerobic sulfide reductase	anaerobic sulfite reductase	anaerobic sulfide reductase	No Data	2687490	2688308	819	272	P26475	AAL21443.1	No Data
STM2550	asrC	anaerobic sulfide reductase	anaerobic sulfite reductase	anaerobic sulfide reductase	No Data	2688319	2689332	1014	337	P0A1Y2	AAL21444.1	No Data
STM2554	hcaT		MFS (major facilitator superfamily) transporter	putative MFS family transport protein	No Data	2693347	2692346	1002	333	Q7CQ09	AAL21448.1	No Data
STM2555	glyA		Serine hydroxymethyltransferase	serine hydroxymethyltransferase	2.1.2.1	2694934	2693681	1254	417	P0A2E1	AAL21449.1	GO:0004372
STM2556	hmpA		flavohemoprotein	dihydropteridine reductase 2 and nitric oxide dioxygenase	1.6.99.7	2695259	2696449	1191	396	P26353	AAL21450.1	No Data
STM2558	cadB		cadaverine/lysine antiporter CadB, putative	APC family, lysine/cadaverine transport protein	No Data	2698536	2699867	1332	443	Q8ZN34	AAL21452.1	GO:0015497
STM2559	cadA		lysine decarboxylase	lysine decarboxylase 1	4.1.1.18	2699968	2702094	2127	708	P0A1Z0	AAL21453.1	No Data
STM2565	purL		phosphoribosylformylglycinamidine synthase	phosphoribosylformylglycinamidine synthetase	6.3.5.3	2712261	2708254	4008	1335	P74881	AAL21459.1	No Data
STM2573	panE		2-dehydropantoate 2-reductase	putative ketopantoate reductase	1.1.1.169	2719392	2718475	918	305	Q8ZN23	AAL21467.1	GO:0006221
STM2577	acpS		holo-(acyl-carrier-protein) synthase	holo-[acyl-carrier-protein] synthase, subunit (CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase, phosphopanthetheinyltransferase)	2.7.8.7	2722442	2722062	381	126	P63466	AAL21471.1	GO:0008610
STM2578	pdxJ		pyridoxal phosphate biosynthetic protein PdxJ	carries out condensation and ring closure step	No Data	2723173	2722442	732	243	Q8ZN19	AAL21472.1	GO:0003824
STM2641	nadB		L-aspartate oxidase	quinolinate synthetase, B protein	1.4.3.-	2780428	2782050	1623	540	Q8ZMX9	AAL21535.1	GO:0008734
STM2645	yfiK		paral putative transport protein	paral putative transport protein	No Data	2785266	2785844	579	192	Q8ZMX5	AAL21539.1	No Data
STM2646	pflB		formate acetyltransferase	putative formate acetyltransferase	No Data	2786289	2785906	384	127	Q7CQ05	AAL21540.1	GO:0006113
STM2649	trxC		thioredoxin 2	thioredoxin 2, redox factor	No Data	2788654	2789073	420	139	Q8ZMX4	AAL21543.1	GO:0006118
STM2652	pssA		CDP-diacylglycerol--serine O-phosphatidyltransferase	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	2.7.8.8	2792652	2794010	1359	452	Q7CQ03	AAL21546.1	GO:0003882
STM2654	kgtP		major facilitator family transporter	MFS family, alpha-ketoglutarate permease	No Data	2795676	2794375	1302	433	Q8ZMX1	AAL21548.1	No Data
STM2662	rluD		ribosomal large subunit pseudouridine synthase D	pseudouridine synthase (pseudouridines 1911, 1915, 1917 in	4.2.1.70	2806527	2805547	981	326	P65836	AAL21552.1	GO:0000154
STM2667	pheA		chorismate mutase/prephenate dehydratase	bifuctional: chorismate mutase P prephenate dehydratase	5.4.99.5	2808257	2809417	1161	386	Q8ZMW7	AAL21556.1	GO:0004106
STM2669	tyrA		chorismate mutase/prephenate dehydrogenase	bifunctional: chorismate mutase T prephenate dehydrogenase	5.4.99.5	2811465	2810344	1122	373	Q7CPZ8	AAL21558.1	GO:0004106
STM2670	no		phospho-2-dehydro-3-deoxyheptonate aldolase	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase), tyrosine repressible	4.1.2.15	2812545	2811475	1071	356	P0A1B5	AAL21559.1	GO:0003849
STM2683	yfjB		HI-0072	putative kinase	No Data	2822414	2823178	765	254	P65774	AAL21572.1	No Data
STM2773	iroB	putative glycosyl transferase, related to UDP-glucuronosyltransferase	glucosyl-transferase homolog	putative glycosyl transferase, related to UDP-glucuronosyltransferase	No Data	2916377	2917492	1116	371	Q8ZMN4	AAL21659.1	No Data
STM2774	iroC	putative ATP binding cassette (ABC) transporter	ATP binding cassette (ABC) transporter homolog	putative ATP binding cassette (ABC) transporter	No Data	2917573	2921226	3654	1217	Q8ZMN3	AAL21660.1	No Data
STM2775	iroD	Similar to enterochelin esterase of E. coli (Fes)	Similar to enterochelin esterase of E. coli (Fes)	Similar to enterochelin esterase of E. coli	No Data	2921468	2922580	1113	370	Q8ZMN2	AAL21661.1	No Data
STM2776	iroE		putative hydrolase of the alpha/beta superfamily	putative hydrolase of the alpha/beta superfamily	No Data	2922612	2923547	936	311	Q8ZMN1	AAL21662.1	No Data
STM2777	iroN	TonB-dependent siderophore receptor protein	TonB-dependent siderophore receptor protein	TonB-dependent siderophore receptor protein	No Data	2925763	2923589	2175	724	Q8ZMN0	AAL21663.1	No Data
STM2783	nxiA	Nickel permease (NOT cobalt)	high affinity nickel transporter	putative nickel transporter	No Data	2932226	2931213	1014	337	Q9FA48	AAL21668.1	No Data
STM2786	no	transports citrate, isocitrate, and cis-aconitate	tricarboxylic transport	tricarboxylic transport	No Data	2934590	2935567	978	325	Q9FA46	AAL21671.1	No Data
STM2787	no	transports citrate, isocitrate, and cis-aconitate	tricarboxylic transport	tricarboxylic transport	No Data	2935582	2936013	432	143	Q9FA45	AAL21672.1	No Data
STM2788	no	transports citrate, isocitrate, and cis-aconitate	tricarboxylic transport	tricarboxylic transport	No Data	2936024	2937538	1515	504	Q8ZMM4	AAL21673.1	No Data
STM2791	gabD		succinate-semialdehyde dehydrogenase	succinate-semialdehyde dehydrogenase I, NADP-dependent	1.2.1.16	2940134	2941582	1449	482	Q8ZMM2	AAL21676.1	GO:0009013
STM2792	gabT		4-aminobutyrate aminotransferase	4-aminobutyrate aminotransferase	2.6.1.19	2941597	2942880	1284	427	Q8ZMM1	AAL21677.1	GO:0003867
STM2793	gabP		amino acid permease	APC family, gamma-aminobutyrate transport protein, RpoS dependent	No Data	2943070	2944410	1341	446	Q8ZMM0	AAL21678.1	No Data
STM2807	nrdE		ribonucleoside diphosphate reductase 2, alpha subunit	ribonucleoside diphosphate reductase 2, alpha subunit	1.17.4.1	2952509	2954626	2118	705	Q08698	AAL21692.1	No Data
STM2808	nrdF-2		ribonucleoside-diphosphate reductase R2-2, beta subunit	ribonucleoside-diphosphate reductase 2, beta subunit	1.17.4.1	2954526	2955596	1071	356	P17424	AAL21693.1	No Data
STM2809	aA1-400		proV protein	ABC superfamily (atp_bind), glycine/betaine/proline transport protein	No Data	2955951	2957153	1203	400	P17328	AAL21694.1	No Data
STM2810	proW		amino acid ABC transporter, permease protein	ABC superfamily (membrane), glycine/betaine/proline transport protein	No Data	2957146	2958210	1065	354	P17327	AAL21695.1	No Data
STM2811	proX		ABC superfamily (bind_prot), glycine/betaine/proline transport protein	ABC superfamily (bind_prot), glycine/betaine/proline transport protein	No Data	2958280	2959275	996	331	Q8ZML1	AAL21696.1	No Data
STM2817	luxS		autoinducer-2 production protein LuxS	quorum sensing protein, produces autoinducer - acyl-homoserine	No Data	2966785	2966270	516	171	Q9L4T0	AAL21702.1	GO:0009369
STM2818	gshA		glutamate--cysteine ligase	gamma-glutamate-cysteine ligase	6.3.2.2	2968491	2966935	1557	518	O68838	AAL21703.1	GO:0004357
STM2820	pgmB		CbbY family protein	putative phosphoglucomutase	No Data	2969556	2968990	567	188	Q7CPY7	AAL21705.1	GO:0008152
STM2827	alaS		alanyl-tRNA synthetase	alanyl-tRNA synthetase	6.1.1.7	2974001	2971371	2631	876	Q8ZMK6	AAL21707.1	GO:0004813
STM2831	no		membrane-bound lytic murein transglycosylase B, putative	membrane-bound lytic murein transglycosylase B	3.2.1.-	2978102	2976975	1128	375	Q7CPY6	AAL21711.1	GO:0003824
STM2832	srlA		PTS system component	PTS family, glucitol/sorbitol-specific enzyme IIC component,one of	2.7.1.69	2978308	2978871	564	187	Q8ZMK3	AAL21712.1	No Data
STM2833	srlE		PTS system component	PTS family, glucitol/sorbitol-specific IIB component, one of	2.7.1.69	2978868	2979839	972	323	Q8ZMK2	AAL21713.1	No Data
STM2834	no		PTS system component, putative	PTS family, glucitol/sorbitol-specific	2.7.1.69	2979851	2980213	363	120	Q8ZMK1	AAL21714.1	No Data
STM2835	srlD		3-oxoacyl-(acyl-carrier-protein) reductase	glucitol (sorbitol)-6-phosphate dehydrogenase	1.1.1.140	2980225	2981004	780	259	Q8ZMK0	AAL21715.1	No Data
STM2838.S	gutQ		D-arabinose 5-phosphate isomerase									
STM2840	fprA-2		flavoprotein	putative flavoprotein	No Data	2985065	2986510	1446	481	Q8ZMJ7	AAL21720.1	No Data
